first_name,second_name,web_name,element_type,assists,bonus,bps,clean_sheets,creativity,creativity_rank,creativity_rank_type,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,influence,influence_rank,influence_rank_type,minutes,own_goals,penalties_missed,penalties_saved,total_points,points_per_game,threat,threat_rank,threat_rank_type,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,yellow_cards,red_cards,now_cost,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall
Lucas,Torreira,Torreira,3,1,0,247,3,207.1,194,122,23,1,69.7,234,115,19,281.8,254,103,1501,0,0,0,46,1.6,207.0,195,104,100266,0,181492,0,0.1,9.8,7,0,47,0,0,-3,3
Jannik,Vestergaard,Vestergaard,2,0,6,286,4,81.3,295,91,26,1,62.8,257,81,304,363.8,201,74,1496,0,0,0,51,2.7,183.0,212,45,527672,0,465677,0,0.4,11.3,3,0,45,0,0,-5,5
Felipe Anderson,Pereira Gomes,Felipe Anderson,3,4,1,299,7,414.7,95,67,27,1,114.8,120,67,390,377.2,198,80,1493,0,0,0,66,2.6,355.0,108,56,186288,0,571708,0,0.0,10.0,1,0,66,0,0,-4,4
Jetro,Willems,Willems,2,2,6,283,3,196.0,200,47,24,2,74.1,218,61,498,345.4,217,82,1492,0,0,0,64,3.4,198.0,200,42,363920,0,355182,0,0.0,14.9,0,0,43,0,0,-2,2
Benjamin,Mendy,Mendy,2,2,3,378,9,403.2,99,19,13,0,75.5,214,59,204,243.0,280,112,1491,0,0,0,74,3.9,106.0,271,79,390888,0,320067,0,0.4,13.5,3,0,55,0,0,-5,5
Giovani,Lo Celso,Lo Celso,3,3,3,250,6,459.4,67,50,18,0,93.9,166,85,523,303.2,239,97,1482,0,0,0,54,1.9,176.0,218,115,39400,0,63222,0,0.5,7.4,6,0,73,0,0,-2,2
Andreas,Pereira,Pereira,3,3,1,198,6,432.1,84,58,16,1,102.3,146,77,246,245.6,279,114,1478,0,0,0,60,2.4,343.0,115,60,128659,0,136510,0,0.0,12.8,3,0,47,0,0,-3,3
Alex,Oxlade-Chamberlain,Chamberlain,3,1,2,268,8,298.2,141,87,12,4,99.9,152,78,193,300.0,242,98,1475,1,0,0,76,2.5,406.0,96,48,137110,0,142016,0,0.4,12.5,1,0,61,0,0,-4,4
André Filipe,Tavares Gomes,André Gomes,3,1,3,184,5,179.4,218,132,20,0,36.4,341,147,422,156.6,342,144,1457,0,0,0,39,2.1,33.0,368,175,18746,0,73633,0,0.5,7.5,6,0,52,0,0,-3,3
Sergio,Agüero,Agüero,4,6,14,509,5,256.4,163,24,18,16,208.2,33,12,210,641.2,66,10,1449,0,1,0,132,5.5,1188.0,17,12,3383429,0,3973926,0,0.0,11.4,1,0,116,0,0,-4,4
